price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
22745,1ec2f8d3-8673-47f8-a682-cdae12a84805,b,t-roc,93940,05-2018,nl,5469 NM,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-camera-trekhaak-cockpitview-dab-carp-benzine-grijs-1ec2f8d3-8673-47f8-a682-cdae12a84805
28900,797a6ab4-d65b-42c4-a75c-4591b6443946,b,t-roc,80988,03-2021,nl,6716 AE,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-sport-black-style-pano-keyless-benzine-grijs-797a6ab4-d65b-42c4-a75c-4591b6443946
30950,7409505d-461c-4a93-b48d-ea200eccbcd5,b,t-roc,54203,07-2019,nl,7121 MJ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tfsi-r-line-panorama-camera-adcr-navi-leder-19-benzine-zwart-7409505d-461c-4a93-b48d-ea200eccbcd5
33900,0f9cbc46-1d90-4bbd-a1d5-7826350be54b,b,t-roc,63649,05-2021,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-sport-business-r-r-line-black-benzine-wit-0f9cbc46-1d90-4bbd-a1d5-7826350be54b
25395,ec992221-71f1-4725-b17c-ff6046beac5b,b,t-roc,134184,04-2018,nl,4879 NL,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4m-sp-bnsr-full-pano-navi-camera-leder-a-benzine-groen-ec992221-71f1-4725-b17c-ff6046beac5b
25795,b6b5e70f-0dbb-41c2-a52d-373b3ab60ca8,b,t-roc,134498,09-2019,nl,4879 NL,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-dsg-full-pano-navi-acc-ecc-pdc-elek-benzine-grijs-b6b5e70f-0dbb-41c2-a52d-373b3ab60ca8
34900,42850c90-e4d7-4499-a09d-43b79f89821a,b,t-roc,27616,03-2023,nl,3902 HR,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-navi-led-plus-digita-benzine-zwart-42850c90-e4d7-4499-a09d-43b79f89821a
36900,d8601cba-b19e-4bfe-a479-a5fcce93851a,b,t-roc,4337,01-2023,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-style-black-style-iq-light-benzine-wit-d8601cba-b19e-4bfe-a479-a5fcce93851a
26745,f929d40f-fe34-4e4b-a89e-b38f9f01bcdb,b,t-roc,80611,02-2019,nl,5126 PW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-l-automaat-l-virtual-cockpit-l-apple-benzine-wit-f929d40f-fe34-4e4b-a89e-b38f9f01bcdb
20999,a9be97dd-9ff0-4c39-88fd-5ffe37013ae8,b,t-roc,121576,01-2019,nl,8317 AP,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-150-pk-automaat-navigatie-camera-benzine-grijs-a9be97dd-9ff0-4c39-88fd-5ffe37013ae8
25900,5e0302aa-e009-4053-ad5f-2b18ee001fe3,b,t-roc,41898,05-2019,nl,6716 AE,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-sport-business-r-r-line-came-benzine-rood-5e0302aa-e009-4053-ad5f-2b18ee001fe3
20999,aa53a384-a35c-43df-8236-addc4b147a5f,b,t-roc,76858,11-2018,nl,8317 AP,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-virtual-cockpit-apple-carplay-clim-benzine-wit-aa53a384-a35c-43df-8236-addc4b147a5f
37950,898857c5-6396-4cf4-a034-31b071cb0dac,b,t-roc,52165,07-2020,nl,1704 SR,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-pano-acc-keyless-carplay-benzine-zwart-898857c5-6396-4cf4-a034-31b071cb0dac
19900,98ca9362-bdf8-44da-adf9-0482182d38f8,b,t-roc,79778,07-2018,nl,3902 HR,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-115pk-style-origineel-nl-navi-trekha-benzine-wit-98ca9362-bdf8-44da-adf9-0482182d38f8
